Time step (1e5),Gamma_500,Gamma_1k,Gamma_8k,Gamma_20k,tau_0001,tau_001,tau_005,tau_01,tau_05
6.7,2.664535239,6.591692982,9.101484415,7.808167398,3.799247111,0.427074477,9.788636575,8.787344958,4.049489917
6.8,3.907365082,6.467909528,9.314956882,8.349758654,3.942367474,1.062487213,9.527864926,8.443506944,4.352730025
6.9,3.313304024,6.783802094,9.664657058,8.392877245,3.672665562,0.441731694,9.947166542,9.320865124,4.817466819
7,2.544750248,5.859019161,9.715703139,7.943647309,4.079082928,1.415818173,10.01714203,8.388048824,4.544317449
7.1,4.300439605,6.36516962,9.093818454,8.667455715,3.363420389,1.167717625,9.071488277,9.004291605,4.409376711
7.2,3.383670509,6.607115139,9.831921938,8.597068006,3.541452491,1.131419135,9.525078863,9.151319138,4.588870176
7.3,1.859608725,5.778950351,9.276697977,8.075543635,2.89537202,1.344350813,9.268211965,8.830875703,5.228882235
7.4,2.325644957,6.342594578,9.612620145,8.557085426,3.108913018,1.029598154,9.97707924,8.332229171,5.031840864
7.5,4.327321048,6.736166348,9.116846441,8.505607346,2.579351485,1.150237915,10.05143649,9.215501763,4.961522204
7.6,3.696704764,6.371654302,9.611964941,8.997137896,2.637288472,0.729520401,9.123901314,9.559587479,5.14271334
7.7,2.099881995,5.999270279,9.815664047,9.334437046,2.623045558,0.36667246,9.287306278,9.392428881,4.419951017
7.8,1.062414925,6.835594757,10.04396037,9.168781811,2.496477806,0.841022188,9.030983275,9.402060643,5.048295041
7.9,1.307647141,6.33206543,9.655854134,8.816079272,2.927735586,0.56269964,9.813362924,9.169150678,5.372655305
8,1.835312495,6.393985455,9.473909105,9.280632707,2.338303236,0.95826292,9.623574332,9.047610628,5.538578382
8.1,2.829956305,6.082902983,9.413832617,9.273639017,3.007191117,1.421383428,9.691882834,8.841845548,5.607550666
8.2,1.401343625,5.754947006,9.408821289,9.627753351,2.455428525,0.675230523,9.870471512,9.152888604,5.297931598
8.3,2.867303849,5.831616455,9.844317741,9.024656082,2.839681009,1.095994229,9.368946606,9.344453697,5.61231526
8.4,1.12376249,5.83898307,9.62379306,9.359794404,2.528546259,0.928071589,9.781087286,9.292133119,5.254588118
8.5,3.245241948,6.419629001,9.87749714,9.020672113,2.623147951,1.101065654,9.625569855,9.455770735,5.796211773
8.6,1.342205659,5.752374761,9.421635121,8.995345696,2.887587123,0.378522975,8.906303937,9.03553377,5.641078743
8.7,2.668580722,6.769783672,9.89718233,9.028569585,1.801238762,1.315176925,9.917862553,9.19050202,6.194736295
8.8,1.316726387,7.078592965,9.642668634,9.733342679,1.825243046,1.219149744,9.659119475,8.830624831,6.097574262
8.9,1.072032716,6.770494054,9.16624795,9.357908057,2.160634417,1.269748527,9.341428845,9.0945745,5.929423884
9,0.909011645,5.923704163,9.222185694,9.42111054,2.266629122,0.930948825,9.468972415,9.335861847,5.729743808
9.1,2.951772066,7.05994051,9.357740865,9.576768572,2.528399805,0.683589468,9.919046159,10.00238037,6.327184217
9.2,1.844180381,6.890040791,9.612815946,9.831607036,1.809172874,1.191280946,9.250060387,9.981817024,6.300933171
9.3,3.137138336,6.233545457,9.326550817,9.981546028,2.14661512,0.900451606,10.06794784,8.909405413,6.683178199
9.4,0.789331712,7.007232748,9.302092793,9.815358959,2.553196396,1.056123168,9.656122668,9.242741789,6.678129968
9.5,1.117823882,6.004450319,9.666446496,9.275570818,2.210321506,0.437053168,9.854167014,9.548304798,5.986014723
9.6,1.437136516,6.871818003,9.695827155,9.595386773,2.01261824,1.065425384,10.03994265,9.373116577,6.379287971
9.7,1.347802349,6.405942621,9.724535467,9.925464736,2.115187933,0.834005062,9.282911525,9.863630657,6.557615634
9.8,2.758394689,6.739345882,9.58180426,9.721863173,1.403514566,1.142827775,9.752365726,9.687747139,6.577457603
9.9,0.736347871,5.82142956,9.205393043,9.613589461,2.332224335,0.609791661,9.201015334,9.427119917,6.37391674
10,0.827733868,6.060387997,9.511636729,9.502265965,2.13012701,1.22775863,9.859116229,9.74017793,6.662129337
